section,kind,name,note,personal,corporate,suffix
エディトリアル,category,,,,,
エディトリアル,item,DM,,112000,151000,〜
エディトリアル,item,折込チラシ,,360000,490000,〜
エディトリアル,item,PR誌,,435000,577000,〜
エディトリアル,item,書籍 / 装丁,,166000,225000,〜
エディトリアル,item,新書 / 文庫カバー,,192000,265000,〜
エディトリアル,item,カレンダー 12P,,1180000,1520000,〜
エディトリアル,item,パンフレット / カタログ,32P以上を想定（※2参照）,2920000,3860000,〜
広告,category,,,,,
広告,item,新聞広告,,159000,227000,〜
広告,item,パンフレット広告,,113000,152000,〜
広告,item,リーフレット広告,,154000,204000,〜
広告,item,雑誌広告,,394000,555000,〜
広告,item,ステッカー広告,,206000,297000,〜
広告,item,交通ポスター広告,,528000,743000,〜
広告,item,店頭ポスター広告,,605000,828000,〜
広告,item,駅貼ポスター広告,,696000,933000,〜
CI / VI,category,,,,,
CI / VI,item,ロゴ展開物（名刺等）,,165000,226000,〜
CI / VI,item,コーポレートマーク,個人は原則対象外,0,1100000,〜
CI / VI,item,ブランドマーク,,484000,682000,〜
CI / VI,item,社名ロゴタイプ,個人は原則対象外,0,682000,〜
CI / VI,item,ブランドロゴタイプ,,484000,682000,〜
CI / VI,item,商品名ロゴタイプ,,187000,385000,〜
CI / VI,item,ストアマーク / ショップマーク,,484000,682000,〜
CI / VI,item,キャンペーンマーク / キャンペーンロゴマーク,,220000,286000,〜
パッケージ,category,,,,,
パッケージ,item,個装箱,,633000,859000,〜
パッケージ,item,個包装,,250000,344000,〜
パッケージ,item,ラベル,,411000,559000,〜
パッケージ,item,ギフト用パッケージ,,752000,961000,〜
パッケージ,item,包装紙,,328000,436000,〜
パッケージ,item,缶（ドリンク / 食缶）, ,561000,755000,〜
パッケージ,item,美術缶,,838000,1150000,〜
イラスト,category,,,,,
イラスト,item,ストーリーイラスト,,198000,377000,
イラスト,item,風景イラスト,,150000,300000,
イラスト,item,10x10イラスト,,30000,50000,
Web,category,,,,,
Web,item,静的ページ,STUDIOでのデザイン＋実装を含む,100000,150000,〜
Web,item,ランディングページ,STUDIOでのデザイン＋実装を含む,150000,180000,〜
Web,item,動的ページ,CMS表示ページ数（一覧＋詳細など）,160000,200000,〜
Web,item,その他ページ,,100000,150000,〜
Web,item,CMS構築手数料,CMS新規構築時は必ず1件分を加算,50000,75000,

